run_id,machine,model_tag,thinking,num_ctx,reported_size_gb,cpu_gpu_split,ch 1. finish time,last_chapter_finish_time,wall_clock_min (difference between ch 1 finish time and last chapter finish time),status,chapters_completed,chapters_truncated,total_words,total_tokens,tok_per_sec,median_chapter_sec,slowest_chapter_sec,"adherence_pct_per_chapter (total_words ÷ (chapters_completed × 3,000)",repetition_pct,drift_ch30_vs_ch1,kwh,electricity_usd,bookyai_version,notes
T0,boo-4070,llama4:16x17b,ON,32768,67 (fits 128GB),89%/11% CPU/GPU,9/9/2026 16:34,9/9/2026 21:29,294.7,PILOT,30,0,26381,35087,1.98,590,1363.2,29,MEASURE,MEASURE,MEASURE,MEASURE,v1.9.10,"PILOT ONLY - written to OneDrive, timestamps may reflect sync. Do not use in results table. Speed degraded ~15% over the run (ch2-11 avg 2.07 tok/s vs ch21-30 avg 1.76). No truncation, so the socket-timeout patch held."
A1b,backoffice-2060,qwen3:8b,OFF,32768,15,73%/27%,,,,IN PROGRESS,,,,,,,,,,,,,,
A2b,trex-3070,qwen3:8b,OFF,32768,10,41%/59% CPU/GPU,,,,IN PROGRESS,,,,,,,,,,,,,,
A3,boo-4070,qwen3:8b,ON,32768,9.8,100% GPU,9/9/2026 21:59,9/10/2026 3:44,344.2,COMPLETE-DEGENERATE,30,12,333227,443292,21.5,385.9,1363.2,370,90.9,0,MEASURE,MEASURE,v1.9.10,Reasoning trace leaked: bare </think> in ch16. Degenerate from ch1 (77.5% self-rep). 469x 'that seemed to sync with the beat of her heart'.
A3b,boo-4070,qwen3:8b,OFF,32768,9.8,100% GPU,9/10/2026 13:44,9/10/2026 14:11,26.9,COMPLETE,30,2,89758,119358,68.3,53.5,82.5,100,45.4,0.3,MEASURE,MEASURE,v1.9.11,Body only (ch1-30). Back matter generated manually 2h45m later and is excluded from all figures. Repetition 45.4% is from the whole-file run - rerun with --chapters-only for the body figure. Truncation flag fired on ch2 and ch22; spot-check before trusting. Ch30 shows 8287w in bookdiff vs 2752w in chaptertimes because the export appends back matter to the last chapter.
A1 - dirty,backoffice-2060,qwen3:8b,ON,32768,15,73%/27% CPU/GPU,9/9/2026 23:21,9/11/2026 11:45,2184,ABORTED,14,3,"64,757","86,126",1.02,3620.2,20951.2,154,74.5,NA,,,v1.9.10 -> v1.9.11 -> v1.9.12,"Dirty/aborted thinking-mode experiment. Timing CSV was accidentally generated with RunId A2; metrics belong to this A1-dirty run. First measurable chapter completion: 2026-09-09 23:21:23. Last completed chapter: ch14 at 2026-09-10 22:50:32. chaptertimes measured 1,409.2 min from ch1 completion through ch14. Ch15 repeatedly triggered ""Chapter 15 repeated the previous chapter — rewriting it"" and remained stalled until abort at approximately 2026-09-11 11:45. BookyAI was upgraded during the run from v1.9.10 to v1.9.11 and then v1.9.12; Ollama was also updated mid-run. Reported model footprint was 15 GB for a ~5.2 GB model, roughly double the 4070 system's 9.8 GB, likely reflecting KV-cache behavior on Turing. Repetition was extreme at 74.5%; several chapters exceeded 80% internal repetition."
A2 - dirty,trex-3070,qwen3:8b,ON,32768,10,41%/59% CPU/GPU,9/9/2026 22:12,9/11/2026 10:49,"2,196.90",ABORTED,25,11,"234,809","311,895",2.37,6497.5,13043.1,313,90.7,NA,,,v1.9.10 -> v1.9.11 -> v1.9.12,"Expect the same degeneration as A3. Speed should sit between A1 and A3, tracking GPU-resident share rather than VRAM. 9-11 at 10am Chapter 25 repeated the previous chapter — rewriting it - updated to v1.9.12 and restarted also updated ollama. Aborted at 1:25pm - it was on ch 26: Regenerating Chapter 26: *The Code’s Purpose*"
A4,backoffice-2060,llama3.1:8b,,,,,,,,,,,,,,,,,,,,,,
A5,trex-3070,llama3.1:8b,,,,,,,,,,,,,,,,,,,,,,
A6,boo-4070,llama3.1:8b,,,,,,,,,,,,,,,,,,,,,,
A7,backoffice-2060,muse-glimmer:30b,,,,,,,,,,,,,,,,,,,,,,
A8,trex-3070,muse-glimmer:30b,,,,,,,,,,,,,,,,,,,,,,
A9,boo-4070,muse-glimmer:30b,,,,,,,,,,,,,,,,,,,,,,
B1,trex-3070,laguna-xs-2.1:latest,,,,,,,,,,,,,,,,,,,,,,
B2,trex-3070,olmo-3.1:32b,,,,,,,,,,,,,,,,,,,,,,
B3,trex-3070,qwen3.8:27b,,,,,,,,,,,,,,,,,,,,,,
B4,backoffice-2060,gemma4:26b,,,,,,,,,,,,,,,,,,,,,,
C1,boo-4070,llama4:16x17b,,,,,,,,,,,,,,,,,,,,,,
C2,trex-3070,llama4:16x17b,,,,,,,,,,,,,,,,,,,,,,
C3,backoffice-2060,llama4:16x17b,,,,,,,,,,,,,,,,,,,,,,
